Date,Open,High,Low,Close,Volume,Adj Close
13/03/2000,13.08798,13.08798,13.08798,13.08798,0,1.74804
21/03/2000,12.33798,12.33798,12.33798,12.33798,0,1.64787
20/04/2000,10.05,10.05,10.05,10.05,0,1.34229
21/04/2000,10.05,10.05,10.05,10.05,0,1.34229
01/05/2000,10.21998,10.21998,10.21998,10.21998,0,1.36499
05/05/2000,9.94002,9.94002,9.94002,9.94002,0,1.3276
06/06/2000,9.94002,9.94002,9.94002,9.94002,0,1.3276
08/08/2000,9.40998,9.40998,9.40998,9.40998,0,1.2568
05/10/2000,9.375,9.375,9.375,9.375,0,1.25213
24/10/2000,8.36298,8.36298,8.36298,8.36298,0,1.11697
02/11/2000,9.65598,9.65598,9.65598,9.65598,0,1.28966
14/11/2000,8.88798,8.88798,8.88798,8.88798,0,1.18709
20/11/2000,9.11298,9.11298,9.11298,9.11298,0,1.21714
01/12/2000,8.30598,8.30598,8.30598,8.30598,0,1.10935
12/12/2000,8.38098,8.38098,8.38098,8.38098,0,1.11937
01/01/2001,8.19402,8.19402,8.19402,8.19402,0,1.0944
21/03/2002,9.16998,9.16998,9.16998,9.16998,0,1.22475
28/03/2002,8.94,8.94,8.94,8.94,0,1.19403
29/03/2002,8.94,8.94,8.94,8.94,0,1.19403
01/05/2002,8.73,8.73,8.73,8.73,0,1.16599
16/09/2002,7.02,7.02,7.02,7.02,0,0.9376
20/11/2002,6.58998,6.58998,6.58998,6.58998,0,0.88016
12/12/2002,7.44,7.44,7.44,7.44,0,0.99369
25/12/2002,7.65,7.65,7.65,7.65,0,1.02174
01/01/2003,7.48002,7.48002,7.48002,7.48002,0,0.99904
05/02/2003,7.72002,7.72002,7.72002,7.72002,0,1.03109
21/03/2003,7.5,7.5,7.5,7.5,0,1.00171
17/04/2003,8.05998,8.05998,8.05998,8.05998,0,1.0765
18/04/2003,8.05998,8.05998,8.05998,8.05998,0,1.0765
01/05/2003,8.65002,8.65002,8.65002,8.65002,0,1.1553
16/09/2003,12.64002,12.64002,12.64002,12.64002,0,1.68821
20/11/2003,13.95,13.95,13.95,13.95,0,1.86317
12/12/2003,14.7,14.7,14.7,14.7,0,1.96334
25/12/2003,15.21,15.21,15.21,15.21,0,2.03146
01/01/2004,15.46002,15.46002,15.46002,15.46002,0,2.06485
05/02/2004,18.03,18.03,18.03,18.03,0,2.4081
08/04/2004,21.81,21.81,21.81,21.81,0,2.91296
09/04/2004,21.81,21.81,21.81,21.81,0,2.91296
23/04/2004,21.39,21.39,21.39,21.39,0,2.85686
16/09/2004,21.43998,21.43998,21.43998,21.43998,0,2.86354
21/03/2005,30.15,30.15,30.15,30.15,0,4.02686
24/03/2005,28.60998,28.60998,28.60998,28.60998,0,3.82117
25/03/2005,28.60998,28.60998,28.60998,28.60998,0,3.82117
22/04/2005,27.6,27.6,26.98002,27.33,65768400,3.65021
16/09/2005,12.88,12.88,12.88,12.88,0,5.16079
12/12/2005,16.26,16.26,16.26,16.26,0,6.51509
06/02/2006,17.32,17.32,17.32,17.32,0,6.93981
21/03/2006,19.25,19.25,19.25,19.25,0,7.71313
13/04/2006,18.26,18.26,18.26,18.26,0,7.31646
14/04/2006,18.26,18.26,18.26,18.26,0,7.31646
02/11/2006,22.9,22.9,22.9,22.9,0,9.17562
20/11/2006,23.62,23.62,23.62,23.62,0,9.46411
01/12/2006,24.41,24.41,24.41,24.41,0,9.78065
12/12/2006,24.61,24.61,24.61,24.61,0,9.86079
18/12/2006,23,24.28,23,23.94,59806800,9.59233
25/12/2006,23.17,23.17,23.17,23.17,0,9.28381
01/01/2007,24.38,24.38,24.38,24.38,0,9.76863
05/02/2007,24.62,24.62,24.62,24.62,0,9.86479
19/03/2007,24.79,24.79,24.79,24.79,0,9.93291
27/03/2007,25.9,25.9,25.39,25.71,78582400,10.30154
05/04/2007,27.54,27.54,27.54,27.54,0,11.03479
06/04/2007,27.54,27.54,27.54,27.54,0,11.03479
01/05/2007,28.78,28.78,28.78,28.78,0,11.53163
02/11/2007,33.09,33.09,33.09,33.09,0,14.32695
19/11/2007,32.84,32.84,32.84,32.84,0,14.21871
12/12/2007,33.57,33.57,33.57,33.57,0,14.53478
25/12/2007,32.99,32.99,32.99,32.99,0,14.28365
31/12/2007,33.18,33.57,33.03,33.48,21303400,14.49581
